run_id,workflow_id,started_at,ended_at,duration_ms,status,error_category,error_message,failed_step_id,retry_count,is_manual_replay
run_wf_shopify_orders_20260201T000046Z_0108,wf_shopify_orders,2026-02-01T00:00:46Z,2026-02-01T00:00:50Z,4479,success,,,,0,False
run_wf_support_router_20260201T000705Z_0028,wf_support_router,2026-02-01T00:07:05Z,2026-02-01T00:07:06Z,1669,success,,,,0,False
run_wf_shopify_returns_20260201T000811Z_0033,wf_shopify_returns,2026-02-01T00:08:11Z,2026-02-01T00:08:13Z,2820,success,,,,0,False
run_wf_shopify_returns_20260201T000948Z_0009,wf_shopify_returns,2026-02-01T00:09:48Z,2026-02-01T00:09:50Z,2700,success,,,,0,False
run_wf_support_router_20260201T001206Z_0113,wf_support_router,2026-02-01T00:12:06Z,2026-02-01T00:12:06Z,968,success,,,,0,False
run_wf_lead_sync_20260201T001423Z_0073,wf_lead_sync,2026-02-01T00:14:23Z,2026-02-01T00:14:25Z,2187,success,,,,0,False
run_wf_invoice_sync_20260201T001510Z_0003,wf_invoice_sync,2026-02-01T00:15:10Z,2026-02-01T00:15:11Z,1235,success,,,,0,False
run_wf_lead_sync_20260201T001712Z_0043,wf_lead_sync,2026-02-01T00:17:12Z,2026-02-01T00:17:14Z,2495,success,,,,0,False
run_wf_invoice_sync_20260201T002610Z_0023,wf_invoice_sync,2026-02-01T00:26:10Z,2026-02-01T00:26:11Z,1642,success,,,,0,False
run_wf_shopify_orders_20260201T002707Z_0159,wf_shopify_orders,2026-02-01T00:27:07Z,2026-02-01T00:27:11Z,4000,success,,,,0,False
run_wf_lead_sync_20260201T004132Z_0048,wf_lead_sync,2026-02-01T00:41:32Z,2026-02-01T00:41:33Z,1692,success,,,,0,False
run_wf_invoice_sync_20260201T004204Z_0014,wf_invoice_sync,2026-02-01T00:42:04Z,2026-02-01T00:42:05Z,1839,success,,,,0,False
run_wf_shopify_returns_20260201T004222Z_0038,wf_shopify_returns,2026-02-01T00:42:22Z,2026-02-01T00:42:23Z,1817,success,,,,0,False
run_wf_shopify_orders_20260201T004433Z_0192,wf_shopify_orders,2026-02-01T00:44:33Z,2026-02-01T00:44:36Z,3680,success,,,,0,False
run_wf_support_router_20260201T004557Z_0041,wf_support_router,2026-02-01T00:45:57Z,2026-02-01T00:45:58Z,1044,success,,,,0,False
run_wf_shopify_returns_20260201T004619Z_0011,wf_shopify_returns,2026-02-01T00:46:19Z,2026-02-01T00:46:21Z,2677,success,,,,0,False
run_wf_support_router_20260201T005321Z_0110,wf_support_router,2026-02-01T00:53:21Z,2026-02-01T00:53:22Z,1860,success,,,,0,False
run_wf_support_router_20260201T005438Z_0000,wf_support_router,2026-02-01T00:54:38Z,2026-02-01T00:54:39Z,1190,success,,,,0,False
run_wf_shopify_orders_20260201T005625Z_0068,wf_shopify_orders,2026-02-01T00:56:25Z,2026-02-01T00:56:27Z,2780,success,,,,0,False
run_wf_lead_sync_20260201T005642Z_0002,wf_lead_sync,2026-02-01T00:56:42Z,2026-02-01T00:56:43Z,1758,success,,,,0,False
run_wf_shopify_orders_20260201T010014Z_0176,wf_shopify_orders,2026-02-01T01:00:14Z,2026-02-01T01:00:17Z,3315,success,,,,0,False
run_wf_support_router_20260201T010017Z_0093,wf_support_router,2026-02-01T01:00:17Z,2026-02-01T01:00:18Z,1178,success,,,,0,False
run_wf_support_router_20260201T010505Z_0002,wf_support_router,2026-02-01T01:05:05Z,2026-02-01T01:05:06Z,1345,success,,,,0,False
run_wf_support_router_20260201T010837Z_0043,wf_support_router,2026-02-01T01:08:37Z,2026-02-01T01:08:38Z,1217,success,,,,0,False
run_wf_shopify_orders_20260201T011445Z_0084,wf_shopify_orders,2026-02-01T01:14:45Z,2026-02-01T01:14:48Z,3483,success,,,,0,False
run_wf_lead_sync_20260201T012101Z_0082,wf_lead_sync,2026-02-01T01:21:01Z,2026-02-01T01:21:02Z,1693,success,,,,0,False
run_wf_shopify_orders_20260201T012510Z_0062,wf_shopify_orders,2026-02-01T01:25:10Z,2026-02-01T01:25:14Z,4668,success,,,,0,False
run_wf_support_router_20260201T012649Z_0063,wf_support_router,2026-02-01T01:26:49Z,2026-02-01T01:26:50Z,1525,success,,,,0,False
run_wf_shopify_orders_20260201T012705Z_0134,wf_shopify_orders,2026-02-01T01:27:05Z,2026-02-01T01:27:07Z,2792,success,,,,0,False
run_wf_support_router_20260201T012709Z_0082,wf_support_router,2026-02-01T01:27:09Z,2026-02-01T01:27:10Z,1332,success,,,,0,False
run_wf_lead_sync_20260201T013547Z_0006,wf_lead_sync,2026-02-01T01:35:47Z,2026-02-01T01:35:48Z,1454,success,,,,0,False
run_wf_support_router_20260201T013657Z_0097,wf_support_router,2026-02-01T01:36:57Z,2026-02-01T01:36:58Z,1188,success,,,,0,False
run_wf_shopify_orders_20260201T013906Z_0060,wf_shopify_orders,2026-02-01T01:39:06Z,2026-02-01T01:39:09Z,3835,success,,,,0,False
run_wf_invoice_sync_20260201T014053Z_0029,wf_invoice_sync,2026-02-01T01:40:53Z,2026-02-01T01:40:54Z,1566,success,,,,0,False
run_wf_shopify_orders_20260201T014307Z_0219,wf_shopify_orders,2026-02-01T01:43:07Z,2026-02-01T01:43:10Z,3233,success,,,,0,False
run_wf_shopify_orders_20260201T014455Z_0026,wf_shopify_orders,2026-02-01T01:44:55Z,2026-02-01T01:44:58Z,3621,success,,,,0,False
run_wf_shopify_orders_20260201T014651Z_0105,wf_shopify_orders,2026-02-01T01:46:51Z,2026-02-01T01:46:54Z,3057,success,,,,0,False
run_wf_shopify_orders_20260201T015543Z_0181,wf_shopify_orders,2026-02-01T01:55:43Z,2026-02-01T01:55:46Z,3384,success,,,,0,False
run_wf_shopify_orders_20260201T015613Z_0171,wf_shopify_orders,2026-02-01T01:56:13Z,2026-02-01T01:56:16Z,3308,success,,,,0,False
run_wf_support_router_20260201T015820Z_0048,wf_support_router,2026-02-01T01:58:20Z,2026-02-01T01:58:20Z,879,success,,,,0,False
run_wf_invoice_sync_20260201T020055Z_0009,wf_invoice_sync,2026-02-01T02:00:55Z,2026-02-01T02:00:56Z,1550,success,,,,0,False
run_wf_support_router_20260201T020211Z_0017,wf_support_router,2026-02-01T02:02:11Z,2026-02-01T02:02:12Z,1043,success,,,,0,False
run_wf_invoice_sync_20260201T022600Z_0024,wf_invoice_sync,2026-02-01T02:26:00Z,2026-02-01T02:26:01Z,1566,success,,,,0,False
run_wf_shopify_returns_20260201T022852Z_0015,wf_shopify_returns,2026-02-01T02:28:52Z,2026-02-01T02:28:55Z,3483,success,,,,0,False
run_wf_support_router_20260201T023016Z_0069,wf_support_router,2026-02-01T02:30:16Z,2026-02-01T02:30:17Z,1273,success,,,,0,False
run_wf_support_router_20260201T023139Z_0091,wf_support_router,2026-02-01T02:31:39Z,2026-02-01T02:31:40Z,1547,success,,,,0,False
run_wf_shopify_orders_20260201T024552Z_0152,wf_shopify_orders,2026-02-01T02:45:52Z,2026-02-01T02:45:55Z,3596,success,,,,0,False
run_wf_shopify_returns_20260201T024639Z_0004,wf_shopify_returns,2026-02-01T02:46:39Z,2026-02-01T02:46:41Z,2207,success,,,,0,False
run_wf_lead_sync_20260201T024711Z_0023,wf_lead_sync,2026-02-01T02:47:11Z,2026-02-01T02:47:12Z,1591,success,,,,0,False
run_wf_support_router_20260201T025418Z_0011,wf_support_router,2026-02-01T02:54:18Z,2026-02-01T02:54:19Z,1285,success,,,,0,False
run_wf_lead_sync_20260201T025705Z_0004,wf_lead_sync,2026-02-01T02:57:05Z,2026-02-01T02:57:06Z,1392,success,,,,0,False
run_wf_shopify_returns_20260201T025943Z_0012,wf_shopify_returns,2026-02-01T02:59:43Z,2026-02-01T02:59:45Z,2735,success,,,,0,False
run_wf_shopify_orders_20260201T030429Z_0058,wf_shopify_orders,2026-02-01T03:04:29Z,2026-02-01T03:04:31Z,2752,success,,,,0,False
run_wf_shopify_orders_20260201T031449Z_0217,wf_shopify_orders,2026-02-01T03:14:49Z,2026-02-01T03:14:51Z,2424,success,,,,0,False
run_wf_shopify_orders_20260201T031733Z_0146,wf_shopify_orders,2026-02-01T03:17:33Z,2026-02-01T03:17:36Z,3111,success,,,,0,False
